expected_index,actual_index,side,expected_timestamp_utc,actual_timestamp_utc,expected_exit_timestamp_utc,actual_exit_timestamp_utc,expected_entry_price,actual_entry_price,expected_exit_price,actual_exit_price,expected_pnl_pips,actual_pnl_pips,expected_exit_reason,actual_exit_reason,exit_reason_match,expected_stop_loss_price,actual_stop_loss_price,expected_take_profit_price,actual_take_profit_price,expected_same_bar_collision,actual_same_bar_collision,same_bar_collision_match,expected_collision_resolution,entry_price_delta_pips,exit_price_delta_pips,fill_delta_pips,close_timing_delta_seconds,breach_entry_price,breach_exit_price,breach_fill_delta,breach_close_timing,breach_exit_reason,breach_same_bar_collision,breach_any,likely_cause
119,112,short,2026-01-27T13:40:00Z,2026-01-27T13:40:00Z,2026-01-27T13:42:00Z,2026-01-27T13:42:40Z,1.19146,1.19146,1.19246,1.19246,-10.0,-10.0,stop_loss,stop_loss,True,1.19246,1.19246,1.18946,1.18946,False,False,True,,0.0,0.0,0.0,40.0,False,False,False,False,False,False,False,within_tolerance
120,113,long,2026-01-27T13:50:00Z,2026-01-27T13:50:00Z,2026-01-27T14:52:00Z,2026-01-27T14:52:40Z,1.19256,1.19257,1.19156,1.19157,-10.0,-10.0,stop_loss,stop_loss,True,1.19156,1.19157,1.19456,1.19457,False,False,True,,0.1,0.1,0.0,40.0,False,False,False,False,False,False,False,within_tolerance
121,114,short,2026-01-27T14:54:00Z,2026-01-27T14:54:00Z,2026-01-27T15:06:00Z,2026-01-27T15:06:40Z,1.19194,1.19194,1.19294,1.19294,-10.0,-10.0,stop_loss,stop_loss,True,1.19294,1.19294,1.18994,1.18994,False,False,True,,0.0,0.0,0.0,40.0,False,False,False,False,False,False,False,within_tolerance
122,115,long,2026-01-27T15:13:00Z,2026-01-27T15:13:00Z,2026-01-27T15:35:00Z,2026-01-27T15:35:40Z,1.19278,1.19279,1.19478,1.19479,20.0,20.0,take_profit,take_profit,True,1.19178,1.19179,1.19478,1.19479,False,False,True,,0.1,0.1,0.0,40.0,False,False,False,False,False,False,False,within_tolerance
123,116,short,2026-01-27T15:51:00Z,2026-01-27T15:51:00Z,2026-01-27T16:02:00Z,2026-01-27T16:02:40Z,1.19424,1.19424,1.19524,1.19524,-10.0,-10.0,stop_loss,stop_loss,True,1.19524,1.19524,1.19224,1.19224,False,False,True,,0.0,0.0,0.0,40.0,False,False,False,False,False,False,False,within_tolerance
124,117,short,2026-01-28T13:01:00Z,2026-01-28T13:01:00Z,2026-01-28T13:24:00Z,2026-01-28T13:24:40Z,1.19691,1.19691,1.19791,1.19791,-10.0,-10.0,stop_loss,stop_loss,True,1.19791,1.19791,1.19491,1.19491,False,False,True,,0.0,0.0,0.0,40.0,False,False,False,False,False,False,False,within_tolerance
125,118,long,2026-01-28T13:57:00Z,2026-01-28T13:57:00Z,2026-01-28T14:17:00Z,2026-01-28T14:17:40Z,1.19769,1.1977,1.19669,1.1967,-10.0,-10.0,stop_loss,stop_loss,True,1.19669,1.1967,1.19969,1.1997,False,False,True,,0.1,0.1,0.0,40.0,False,False,False,False,False,False,False,within_tolerance
126,119,long,2026-01-28T14:35:00Z,2026-01-28T14:35:00Z,2026-01-28T14:49:00Z,2026-01-28T14:49:40Z,1.19669,1.1967,1.19569,1.1957,-10.0,-10.0,stop_loss,stop_loss,True,1.19569,1.1957,1.19869,1.1987,False,False,True,,0.1,0.1,0.0,40.0,False,False,False,False,False,False,False,within_tolerance
127,120,short,2026-01-28T14:57:00Z,2026-01-28T14:57:00Z,2026-01-28T15:23:00Z,2026-01-28T15:23:40Z,1.19563,1.19563,1.19663,1.19663,-10.0,-10.0,stop_loss,stop_loss,True,1.19663,1.19663,1.19363,1.19363,False,False,True,,0.0,0.0,0.0,40.0,False,False,False,False,False,False,False,within_tolerance
128,121,long,2026-01-28T15:41:00Z,2026-01-28T15:42:00Z,2026-01-28T15:53:00Z,2026-01-28T15:53:40Z,1.19722,1.19727,1.19622,1.19627,-10.0,-10.0,stop_loss,stop_loss,True,1.19622,1.19627,1.19922,1.19927,False,False,True,,0.5,0.5,0.0,40.0,True,True,False,False,False,False,True,entry_price_drift
