timestamp_utc,candidate_id,run_id,signal,spread_pips,bars_processed
2026.02.05 10:26:00Z,AF-CAND-0733,mt5run-20260414T001532Z,-1,0.100000,128234
2026.02.05 12:36:00Z,AF-CAND-0733,mt5run-20260414T001532Z,1,0.100000,128364
2026.02.05 13:23:00Z,AF-CAND-0733,mt5run-20260414T001532Z,-1,0.100000,128411
2026.02.05 13:31:00Z,AF-CAND-0733,mt5run-20260414T001532Z,1,0.100000,128419
2026.02.05 13:47:00Z,AF-CAND-0733,mt5run-20260414T001532Z,1,0.100000,128435
2026.02.05 13:53:00Z,AF-CAND-0733,mt5run-20260414T001532Z,1,0.100000,128441
2026.02.06 08:01:00Z,AF-CAND-0733,mt5run-20260414T001532Z,-1,0.100000,129523
2026.02.06 10:32:00Z,AF-CAND-0733,mt5run-20260414T001532Z,1,0.100000,129674
2026.02.06 11:51:00Z,AF-CAND-0733,mt5run-20260414T001532Z,-1,0.100000,129753
2026.02.09 08:03:00Z,AF-CAND-0733,mt5run-20260414T001532Z,-1,0.100000,130959
2026.02.09 08:41:00Z,AF-CAND-0733,mt5run-20260414T001532Z,1,0.100000,130997
2026.02.09 08:53:00Z,AF-CAND-0733,mt5run-20260414T001532Z,-1,0.100000,131009
2026.02.09 09:04:00Z,AF-CAND-0733,mt5run-20260414T001532Z,1,0.100000,131020
2026.02.09 09:30:00Z,AF-CAND-0733,mt5run-20260414T001532Z,-1,0.100000,131046
2026.02.09 09:43:00Z,AF-CAND-0733,mt5run-20260414T001532Z,1,0.100000,131059
2026.02.09 12:14:00Z,AF-CAND-0733,mt5run-20260414T001532Z,1,0.100000,131210
2026.02.10 08:05:00Z,AF-CAND-0733,mt5run-20260414T001532Z,1,0.100000,132395
2026.02.10 10:40:00Z,AF-CAND-0733,mt5run-20260414T001532Z,-1,0.100000,132550
2026.02.10 13:26:00Z,AF-CAND-0733,mt5run-20260414T001532Z,1,0.100000,132716
2026.02.10 13:44:00Z,AF-CAND-0733,mt5run-20260414T001532Z,-1,0.100000,132734
2026.02.11 08:07:00Z,AF-CAND-0733,mt5run-20260414T001532Z,-1,0.100000,133829
2026.02.11 10:40:00Z,AF-CAND-0733,mt5run-20260414T001532Z,1,0.100000,133982
2026.02.11 12:35:00Z,AF-CAND-0733,mt5run-20260414T001532Z,-1,0.100000,134097
2026.02.12 08:00:00Z,AF-CAND-0733,mt5run-20260414T001532Z,-1,0.100000,135255
2026.02.12 08:18:00Z,AF-CAND-0733,mt5run-20260414T001532Z,1,0.100000,135273
2026.02.12 10:54:00Z,AF-CAND-0733,mt5run-20260414T001532Z,1,0.100000,135429
2026.02.12 11:11:00Z,AF-CAND-0733,mt5run-20260414T001532Z,-1,0.100000,135446
2026.02.12 13:42:00Z,AF-CAND-0733,mt5run-20260414T001532Z,-1,0.100000,135597
2026.02.13 08:02:00Z,AF-CAND-0733,mt5run-20260414T001532Z,-1,0.100000,136691
2026.02.13 09:34:00Z,AF-CAND-0733,mt5run-20260414T001532Z,-1,0.100000,136783
2026.02.13 10:02:00Z,AF-CAND-0733,mt5run-20260414T001532Z,1,0.100000,136811
2026.02.13 11:23:00Z,AF-CAND-0733,mt5run-20260414T001532Z,-1,0.100000,136892
2026.02.13 13:26:00Z,AF-CAND-0733,mt5run-20260414T001532Z,1,0.100000,137014
2026.02.16 08:00:00Z,AF-CAND-0733,mt5run-20260414T001532Z,-1,0.100000,138121
